Name,Tags
0 Inhalt,
1 Aufgabenstellung,
"
2 Linux als VM aufsetzen",
"3.1 Syntax und des Aufbaus der Linux Shell Befehle. (Kommando, Attribut, Option)",
3.2 10 der häufigsten über die Shell abzuwickelnden Aufgabenstellungen/User Tasks,
3.3 nützlichen externen Links,
